nm,0,30,45,60,wl
360,39.6653,53.8488,61.3738,66.2576,0.36
370,50.1882,59.9697,65.5671,69.5506,0.37
380,55.8567,62.5453,66.7371,70.0024,0.38
390,59.3673,64.1321,67.3891,70.1653,0.39
400,61.4763,65.055,67.701,70.1656,0.4
410,62.7335,65.5475,67.7885,70.068,0.41
420,63.4472,65.7538,67.7318,69.9245,0.42
430,63.8025,65.7713,67.5919,69.7794,0.43
440,63.9202,65.6712,67.4193,69.6733,0.44
450,63.8856,65.5103,67.2588,69.6433,0.45
460,63.7634,65.3364,67.1513,69.7197,0.46
470,63.6059,65.1917,67.135,69.9158,0.47
480,63.457,65.1141,67.2445,70.1986,0.48
490,63.355,65.1383,67.5085,70.4063,0.49
500,63.3334,65.2954,67.9441,70.0149,0.5
510,63.3866,65.5679,68.4899,67.8526,0.51
520,63.5714,66.0139,69.1393,62.0048,0.52
530,63.9087,66.6442,69.7294,53.0772,0.53
540,64.4152,67.4544,69.8483,45.8161,0.54
550,65.1017,68.4092,68.5552,41.0613,0.55
560,65.9706,69.4122,64.1487,36.5373,0.56
570,67.0101,70.2378,55.3513,30.9677,0.57
580,68.1835,70.3917,44.2731,25.2179,0.58
590,69.4066,68.8589,34.0117,21.1458,0.59
600,70.4984,63.9047,25.0567,19.456,0.6
610,71.0809,54.0863,18.2807,19.6707,0.61
620,70.4312,40.4605,14.5721,21.0572,0.62
630,67.2067,27.1529,13.6737,23.0252,0.63
640,59.5934,17.6912,14.6101,25.1517,0.64
650,47.0013,12.915,16.4944,27.1835,0.65
660,32.673,11.6832,18.7121,28.9999,0.66
670,21.5395,12.4973,20.9016,30.5638,0.67
680,15.283,14.2548,22.8915,31.8846,0.68
690,12.7972,16.3022,24.6273,32.9929,0.69
700,12.5703,18.3114,26.117,33.9277,0.7
710,13.5067,20.1536,27.3984,34.7315,0.71
720,14.9474,21.7958,28.5125,35.4398,0.72
730,16.5436,23.2563,29.5038,36.0871,0.73
740,18.1362,24.5715,30.4134,36.7032,0.74
750,19.6679,25.7823,31.2769,37.314,0.75
760,21.1318,26.9269,32.1242,37.9404,0.76
770,22.5422,28.0385,32.9798,38.5994,0.77
780,23.9207,29.144,33.8624,39.3035,0.78
790,25.2888,30.2643,34.7856,40.0612,0.79
800,26.6645,31.4144,35.7585,40.8774,0.8
